"filename", "language", "C++", "comment", "blank", "total"
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\t_do_list_man.cpp", "C++", 69, 0, 9, 78
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list.cpp", "C++", -283, -2, -90, -375
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_add.cpp", "C++", 92, 0, 17, 109
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_calendar.cpp", "C++", 374, 2, 95, 471
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_cmd.cpp", "C++", -478, -1, -71, -550
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_del.cpp", "C++", 60, 0, 14, 74
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_edit.cpp", "C++", 136, 0, 23, 159
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_undo_redo.cpp", "C++", 79, 1, 13, 93
"d:\nycu course\2025_spring\Data Structures and Object-oriented Programming\hw1\Hw_1_to_do_list\to_do_list\src\to_do_list_view.cpp", "C++", 102, 1, 14, 117
"Total", "-", 151, 1, 24, 176
